"sample","ratio","condition","amino_acid","batch","ratio_sample_is","ratio_adj","concentration_sample_uM","cell_line","dox_conc","timepoint","replicate","mean_m0","ratio_to_m0","AA_concentration_mM","AA_concentration_uM","mean_glc_m0","correction_factor","final_concentration"
"11",4.67,4.02,"Lys",1,0.05,93.5,375.7896,"TM",100,22,1,452.7324,0.830047948854555,0.4986339,498.6339,NA,NA,413.890045924347
"12",5.28,4.02,"Lys",1,0.05,106,424.6728,"TM",1000,22,1,452.7324,0.938021665778725,0.4986339,498.6339,NA,NA,467.729401491742
"13",6.17,4.02,"Lys",1,0.05,123,496.2288,"TM",0,24,1,452.7324,1.09607529746049,0.4986339,498.6339,NA,NA,546.540300266383
"14",5.47,4.02,"Lys",1,0.05,109,439.386,"TM",100,24,1,452.7324,0.970520333866098,0.4986339,498.6339,NA,NA,483.934339104955
"15",4.31,4.02,"Lys",1,0.05,86.3,346.8456,"TM",1000,24,1,452.7324,0.766116142781034,0.4986339,498.6339,NA,NA,382.011480127864
"16",4.35,4.02,"Lys",1,0.05,87.1,350.0616,"T",0,16,1,452.7324,0.773219676789203,0.4986339,498.6339,NA,NA,385.55354299414
"17",5.81,4.02,"Lys",1,0.05,116,467.124,"T",100,16,1,452.7324,1.03178831468656,0.4986339,498.6339,NA,NA,514.484631326585
"18",5.97,4.02,"Lys",1,0.05,119,479.988,"T",1000,16,1,452.7324,1.06020245071923,0.4986339,498.6339,NA,NA,528.652882791689
"19",5.03,4.02,"Lys",1,0.05,101,404.3316,"T",0,18,1,452.7324,0.893091813177056,0.4986339,498.6339,NA,NA,445.325853862547
"20",4.54,4.02,"Lys",1,0.05,90.9,365.2572,"T",100,18,1,452.7324,0.806783874977801,0.4986339,498.6339,NA,NA,402.289790037294
"21",6.36,4.02,"Lys",1,0.05,127,511.4244,"T",1000,18,1,452.7324,1.12963949564909,0.4986339,498.6339,NA,NA,563.276547309537
"22",5.09,4.02,"Lys",1,0.05,102,409.3164,"T",0,20,1,452.7324,0.904102290889718,0.4986339,498.6339,NA,NA,450.816051305274
