timepoint,EV_0_1,EV_100_1,EV_1000_1,TP53R175H_0_1,TP53R175H_100_1,TP53R175H_1000_1,EV_0_2,EV_100_2,EV_1000_2,TP53R175H_0_2,TP53R175H_100_2,TP53R175H_1000_2,EV_0_3,EV_100_3,EV_1000_3,TP53R175H_0_3,TP53R175H_100_3,TP53R175H_1000_3,MYC_0_1,MYC_100_1,MYC_1000_1,TM_0_1,TM_100_1,TM_1000_1,MYC_0_2,MYC_100_2,MYC_1000_2,TM_0_2,TM_100_2,TM_1000_2,MYC_0_3,MYC_100_3,MYC_1000_3,TM_0_3,TM_100_3,TM_1000_3
55,90.98668,89.75222,92.93056,91.66156,92.58892,92.77168,91.51084,92.46608,93.64888,94.47009,94.696,93.28575,92.2183,91.81821,93.96559,93.68803,94.12349,94.08259,94.34558,96.80247,97.8029,97.03573,90.60201,95.52891,94.83704,96.72463,93.97498,97.74011,94.11051,95.05373,93.34322,95.05457,94.29742,92.16002,84.41949,89.21985
56,91.78326,90.20393,93.25258,92.08395,93.01241,92.77126,92.17632,92.81423,93.63776,94.62735,94.75658,93.58057,92.79482,92.17024,93.88353,94.04488,94.3531,94.49153,94.48304,96.8261,97.71753,97.25851,90.98875,95.77386,95.14959,96.97578,94.30566,98.04018,94.30752,95.53403,93.69473,94.77966,94.9185,92.8739,84.48948,89.85195
57,92.02393,90.76619,93.9535,92.50711,93.63099,93.16527,92.59935,93.29927,94.46729,95.26193,95.44244,94.05546,93.21341,92.39156,94.33453,94.37887,94.61746,94.55728,94.75768,96.99934,98.17515,97.38947,91.29333,96.22016,95.52199,96.92576,94.32098,98.18497,94.50204,95.62521,94.39076,95.12378,95.06438,93.90078,85.36799,91.03502
58,93.0191,91.74059,94.21326,92.87474,93.88269,93.42638,93.48047,94.08276,94.86138,95.45369,95.36107,94.31242,94.39565,93.58318,94.75365,94.64461,94.73848,94.73074,95.41626,97.24808,98.31109,97.38063,91.28302,96.39188,96.18665,97.28318,94.53899,97.96308,94.33804,95.92293,95.03909,95.3201,94.63824,93.97719,85.71494,91.06336
59,93.11208,92.12077,94.36317,93.00826,94.13641,93.80244,93.30439,94.11437,94.68179,95.42322,95.60697,94.31305,94.05179,93.2105,94.62664,94.92727,94.9149,94.87844,95.11357,97.14773,98.23277,97.52541,91.57811,96.32578,96.06454,97.14454,94.73965,97.96074,94.5756,96.15233,94.43558,95.0538,94.72818,94.17764,86.13098,91.28242
60,93.37843,92.28696,94.58879,93.16811,94.26954,94.06616,93.84982,94.30453,95.04304,95.45466,95.82967,94.54783,94.48731,93.53241,95.13194,94.82661,94.91138,94.87042,95.31174,97.18115,98.42334,97.39357,92.0139,96.53535,96.23709,97.05315,95.19757,97.95071,94.42337,96.09398,95.02142,95.03674,94.69973,94.96657,86.49534,91.58606
61,93.39592,92.61487,94.66443,93.41885,94.72219,94.25806,93.69612,94.24763,95.06847,95.51609,95.74214,94.69952,94.62823,93.57952,95.15141,94.79698,95.01603,95.07632,95.18437,97.18544,98.10835,97.37669,91.62762,96.32729,96.00919,96.99767,95.16888,97.63795,94.28942,96.16227,94.79188,94.85915,94.99262,94.83194,86.91367,91.6007
62,93.65123,93.10884,94.69503,93.47819,94.79057,94.55784,93.8255,94.24292,95.33874,95.39483,95.74438,94.85308,94.62379,93.84518,94.9924,94.84676,94.75837,94.9875,95.5598,97.17146,98.39267,97.17666,92.13129,96.4624,96.03254,96.5301,95.43761,97.71414,94.57484,96.33345,95.00809,94.85791,95.01257,94.99281,86.81599,91.99245
63,93.36795,93.33465,94.94481,94.01028,95.20045,94.65739,93.84705,94.50336,95.40643,95.56961,95.74256,94.96574,94.85625,93.89491,95.53652,95.14021,94.99068,95.2187,95.61284,97.35336,98.5164,97.35107,92.41705,96.58108,96.32038,97.17425,95.84064,97.78493,94.69039,96.23287,94.67943,95.19052,95.36291,95.49562,87.32254,92.23592
64,93.73239,93.26736,95.12385,93.8338,95.14313,94.87469,93.93926,94.17391,95.36189,95.48442,95.5888,95.03075,94.85218,93.8485,95.31705,95.16613,94.9062,95.23784,95.59538,97.21278,98.41195,97.33311,92.55711,96.62093,96.08381,97.04431,95.78042,97.73285,94.81522,96.51742,95.23229,95.1962,95.34442,95.60199,87.83792,92.39369
